,spec_template_group,spec_group,all,blurb,study.type,condition.name,condition.text,outcome.name,outcome.text,outcome.min,outcome.max,outcome.lower,outcome.upper,scale.direction.intuitive,n_pages,slug,intro,profile_depth,profile_format,profile_traits,profile_pronoun,profile_noun,profile_idx,profile_ideology,profile_age,profile_ethnicity,profile_gender,profile_education,profile_party,profile_party_long,use_original_scale,outcome_scale_min,outcome_scale_max,scale_flip,outcome_format_question,prompt
0,all,all.0,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,2,all.0,(We are interested in predicting how people respond to questions and interventions in social science research studies.),6,bio,['education' 'ideology' 'ethnicity' 'age' 'gender' 'party'],you,American,6320,liberal,50-59,white,female,college,Democrat,Strong Democrat,1,1,5,False,completion,"(We are interested in predicting how people respond to questions and interventions in social science research studies.)
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

You are a liberal, 50-59 year-old, white, female American with college education. Politically, You identify as 'Strong Democrat'.

The first page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

You choose: '"
1,all,all.1,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,2,all.1,"(We are interested in predicting the treatment effect of different messages on research participants' attitudes, beliefs, and behaviors.)",6,bio,['ideology' 'age' 'gender' 'ethnicity' 'party' 'education'],you,research participant,3938,liberal,30-39,white,female,graduate school,Democrat,Strong Democrat,1,1,5,False,completion,"(We are interested in predicting the treatment effect of different messages on research participants' attitudes, beliefs, and behaviors.)
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

You are a liberal, 30-39 year-old, white, female research participant with graduate school education. Politically, You identify as 'Strong Democrat'.

The first page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

You choose: '"
2,all,all.2,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,8,all.2,Can reading a message affect people’s attitudes and actions?,6,questions,['education' 'ideology' 'ethnicity' 'age' 'gender' 'party'],participant_x,research participant,7516,liberal,over 60,white,male,college,Democrat,Lean Democrat,1,1,5,False,completion,"Can reading a message affect people’s attitudes and actions?
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

Participant X is a research participant. Below is a transcript from an online survey.

The first page of the survey says:
> Are you liberal, moderate or conservative?

Participant X chooses: 'Liberal'

The next page of the survey says:
> How old are you?

Participant X chooses: 'Over 60'

The next page of the survey says:
> What is your ethnicity?

Participant X chooses: 'White'

The next page of the survey says:
> What is your gender?

Participant X chooses: 'Male'

The next page of the survey says:
> What is the maximum level of education you have attained?

Participant X chooses: 'College'

The next page of the survey says:
> What is your partisan affiliation?

Participant X chooses: 'Lean Democrat'

The next page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

Participant X chooses: '"
3,all,all.3,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,2,all.3,Can reading a message affect people’s attitudes and actions?,6,bio,['age' 'ethnicity' 'ideology' 'gender' 'party' 'education'],participant_x,research participant,1065,conservative,30-39,hispanic,male,college,Republican,Moderate Republican,1,1,5,False,completion,"Can reading a message affect people’s attitudes and actions?
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

Participant X is a conservative, 30-39 year-old, hispanic, male research participant with college education. Politically, Participant X identifies as 'Moderate Republican'.

The first page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

Participant X chooses: '"
4,all,all.4,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,2,all.4,"(For the following, keep in mind that people's beliefs and behaviors are malleable; their answers to questions often change based on the framing or information provided.)",6,bio,['age' 'education' 'ethnicity' 'party' 'gender' 'ideology'],participant_x,American,1764,conservative,50-59,white,female,some college,Republican,Moderate Republican,1,1,5,False,completion,"(For the following, keep in mind that people's beliefs and behaviors are malleable; their answers to questions often change based on the framing or information provided.)
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

Participant X is a conservative, 50-59 year-old, white, female American with some college education. Politically, Participant X identifies as 'Moderate Republican'.

The first page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

Participant X chooses: '"
5,all,all.5,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,8,all.5,You will be asked to predict how people respond to various messages,6,questions,['gender' 'age' 'ethnicity' 'ideology' 'education' 'party'],participant_x,research participant,322,liberal,18-29,white,male,college,Democrat,Strong Democrat,1,1,5,False,completion,"You will be asked to predict how people respond to various messages
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

Participant X is a research participant. Below is a transcript from an online survey.

The first page of the survey says:
> Are you liberal, moderate or conservative?

Participant X chooses: 'Liberal'

The next page of the survey says:
> How old are you?

Participant X chooses: '18-29'

The next page of the survey says:
> What is your ethnicity?

Participant X chooses: 'White'

The next page of the survey says:
> What is your gender?

Participant X chooses: 'Male'

The next page of the survey says:
> What is the maximum level of education you have attained?

Participant X chooses: 'College'

The next page of the survey says:
> What is your partisan affiliation?

Participant X chooses: 'Strong Democrat'

The next page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

Participant X chooses: '"
6,all,all.6,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,8,all.6,"(For the following, keep in mind that the public has diverse attitudes and behaviors; people often provide very different answers to the same question.)",6,questions,['education' 'ideology' 'age' 'ethnicity' 'gender' 'party'],you,American,659,conservative,over 60,white,male,college,Republican,Moderate Republican,1,1,5,False,completion,"(For the following, keep in mind that the public has diverse attitudes and behaviors; people often provide very different answers to the same question.)
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

You are an American. Below is a transcript from an online survey.

The first page of the survey says:
> Are you liberal, moderate or conservative?

You choose: 'Conservative'

The next page of the survey says:
> How old are you?

You choose: 'Over 60'

The next page of the survey says:
> What is your ethnicity?

You choose: 'White'

The next page of the survey says:
> What is your gender?

You choose: 'Male'

The next page of the survey says:
> What is the maximum level of education you have attained?

You choose: 'College'

The next page of the survey says:
> What is your partisan affiliation?

You choose: 'Moderate Republican'

The next page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

You choose: '"
7,all,all.7,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,8,all.7,(Keep in mind what is known about the public's beliefs and behaviors from research in the field of social psychology),6,questions,['education' 'age' 'ideology' 'party' 'gender' 'ethnicity'],participant_x,research participant,1090,moderate,40-49,white,male,college,Democrat,Lean Democrat,1,1,5,False,completion,"(Keep in mind what is known about the public's beliefs and behaviors from research in the field of social psychology)
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

Participant X is a research participant. Below is a transcript from an online survey.

The first page of the survey says:
> Are you liberal, moderate or conservative?

Participant X chooses: 'Moderate'

The next page of the survey says:
> How old are you?

Participant X chooses: '40-49'

The next page of the survey says:
> What is your ethnicity?

Participant X chooses: 'White'

The next page of the survey says:
> What is your gender?

Participant X chooses: 'Male'

The next page of the survey says:
> What is the maximum level of education you have attained?

Participant X chooses: 'College'

The next page of the survey says:
> What is your partisan affiliation?

Participant X chooses: 'Lean Democrat'

The next page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

Participant X chooses: '"
8,all,all.8,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,2,all.8,You will be asked to predict how people respond to various messages,6,bio,['age' 'ideology' 'ethnicity' 'gender' 'party' 'education'],participant_x,research participant,5237,liberal,over 60,white,male,some college,Democrat,Strong Democrat,1,1,5,False,completion,"You will be asked to predict how people respond to various messages
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

Participant X is a liberal, over 60 year-old, white, male research participant with some college education. Politically, Participant X identifies as 'Strong Democrat'.

The first page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

Participant X chooses: '"
9,all,all.9,{'weight': 1},,TESS,c,{CONDITION_TEXT},o,{OUTCOME_TEXT},1,5,{LOWER_LABEL},{UPPER_LABEL},1,8,all.9,"(For the following, keep in mind that people's beliefs and behaviors are malleable; their answers to questions often change based on the framing or information provided.)",6,questions,['ideology' 'party' 'age' 'ethnicity' 'gender' 'education'],participant_x,research participant,6000,liberal,50-59,white,male,some college,Republican,Moderate Republican,1,1,5,False,completion,"(For the following, keep in mind that people's beliefs and behaviors are malleable; their answers to questions often change based on the framing or information provided.)
--------------------

Study description:
> Social scientists often conduct research studies using online surveys. The text below is from one such survey conducted on a large, diverse population of research participants. 

Participant X is a research participant. Below is a transcript from an online survey.

The first page of the survey says:
> Are you liberal, moderate or conservative?

Participant X chooses: 'Liberal'

The next page of the survey says:
> How old are you?

Participant X chooses: '50-59'

The next page of the survey says:
> What is your ethnicity?

Participant X chooses: 'White'

The next page of the survey says:
> What is your gender?

Participant X chooses: 'Male'

The next page of the survey says:
> What is the maximum level of education you have attained?

Participant X chooses: 'Some College'

The next page of the survey says:
> What is your partisan affiliation?

Participant X chooses: 'Moderate Republican'

The next page of the survey says:
> {CONDITION_TEXT}

The next page of the survey says:
> {OUTCOME_TEXT}
> Please choose a number from 1 ({LOWER_LABEL}) to 5 ({UPPER_LABEL})

Participant X chooses: '"
