age_5,female,educ_5,race_4,pid_3,pid_7,ideo_3
18 - 29,1,Less than High School,Race: Other,Democrat,Moderate Democrat,Liberal
40 - 49,1,Some College,White,Republican,Moderate Republican,Conservative
18 - 29,0,College,White,Democrat,Moderate Democrat,Liberal
18 - 29,1,Some College,White,Independent,Independent,Liberal
30 - 39,1,Some College,Black,Democrat,Moderate Democrat,Conservative
More than 60,0,College,White,Democrat,Lean Democrat,Liberal
More than 60,1,High school,White,Democrat,Strong Democrat,Liberal
50 - 59,0,College,White,Republican,Lean Republican,Conservative
30 - 39,1,College,White,Republican,Lean Republican,Moderate
30 - 39,1,College,White,Republican,Strong Republican,Conservative
30 - 39,0,High school,Black,Democrat,Moderate Democrat,Moderate
More than 60,1,High school,Black,Independent,Independent,Liberal
More than 60,0,Some College,White,Republican,Strong Republican,Conservative
More than 60,0,College,White,Republican,Strong Republican,Conservative
30 - 39,0,College,White,Democrat,Moderate Democrat,Moderate
More than 60,0,Graduate School,White,Republican,Strong Republican,Conservative
More than 60,0,Some College,Black,Democrat,Moderate Democrat,Moderate
30 - 39,0,Some College,White,Democrat,Moderate Democrat,Liberal
18 - 29,1,College,Black,Democrat,Moderate Democrat,Liberal
50 - 59,0,College,Race: Other,Democrat,Strong Democrat,Liberal
30 - 39,1,College,Black,Democrat,Moderate Democrat,Liberal
18 - 29,0,Some College,Black,Democrat,Moderate Democrat,Liberal
More than 60,0,High school,White,Republican,Strong Republican,Conservative
More than 60,1,Graduate School,White,Independent,Independent,Liberal
50 - 59,1,College,Black,Democrat,Moderate Democrat,Liberal
More than 60,1,Some College,White,Republican,Moderate Republican,Conservative
50 - 59,1,Some College,Race: Other,Democrat,Moderate Democrat,Liberal
More than 60,1,Graduate School,White,Democrat,Strong Democrat,Liberal
50 - 59,1,Some College,White,Democrat,Moderate Democrat,Liberal
18 - 29,0,Less than High School,White,Democrat,Moderate Democrat,Liberal
30 - 39,1,Some College,White,Democrat,Lean Democrat,Liberal
30 - 39,0,College,White,Republican,Moderate Republican,Conservative
30 - 39,1,College,White,Republican,Moderate Republican,Conservative
More than 60,1,Some College,White,Republican,Lean Republican,Conservative
50 - 59,0,Some College,White,Democrat,Moderate Democrat,Moderate
More than 60,1,College,White,Democrat,Moderate Democrat,Liberal
More than 60,1,College,White,Democrat,Moderate Democrat,Liberal
30 - 39,0,Some College,White,Independent,Independent,Moderate
50 - 59,1,Less than High School,White,Democrat,Moderate Democrat,Moderate
More than 60,1,College,White,Republican,Moderate Republican,Conservative
More than 60,0,Some College,White,Democrat,Moderate Democrat,Liberal
More than 60,0,College,White,Democrat,Moderate Democrat,Liberal
18 - 29,0,Graduate School,White,Democrat,Moderate Democrat,Liberal
18 - 29,1,Some College,Black,Democrat,Strong Democrat,Moderate
50 - 59,0,Graduate School,White,Democrat,Strong Democrat,Liberal
More than 60,1,College,Race: Other,Republican,Lean Republican,Conservative
30 - 39,1,Graduate School,Race: Other,Independent,Independent,Liberal
30 - 39,1,Graduate School,White,Republican,Moderate Republican,Conservative
40 - 49,1,College,White,Republican,Lean Republican,Conservative
30 - 39,0,College,White,Republican,Lean Republican,Moderate
More than 60,1,College,Black,Democrat,Moderate Democrat,Liberal
30 - 39,0,College,White,Democrat,Moderate Democrat,Moderate
More than 60,0,Some College,Black,Republican,Lean Republican,Moderate
50 - 59,0,College,White,Democrat,Lean Democrat,Moderate
More than 60,1,Graduate School,White,Democrat,Lean Democrat,Conservative
